fips	year	pm25
54105	2004	11.45013967
54105	2005	12.79125808
54105	2006	10.45389372
54105	2007	11.88499007
54105	2008	9.926426365
54105	2009	7.494123898
54105	2010	9.483298103
54105	2011	8.612073521
54105	2012	7.746590914
54105	2013	7.539706573
54105	2014	7.366856013
54105	2015	7.379610659
54105	2016	6.313563679
54095	2000	14.05427174
54095	2001	13.7449177
54095	2002	12.07495424
54095	2003	12.40618632
54095	2004	12.61318938
54095	2005	13.27363557
54095	2006	11.29834065
54095	2007	12.33256801
54095	2008	10.4586315
54095	2009	8.464748916
54095	2010	10.30542217
54095	2011	9.376455704
54095	2012	8.335009045
54095	2013	8.334304665
54095	2014	7.786086696
54095	2015	7.796312473
54095	2016	6.565203485
54085	2000	13.28453641
54085	2001	13.20465498
54085	2002	11.31667755
54085	2003	11.63010686
54085	2004	11.77117854
54085	2005	12.96739104
54085	2006	10.47375242
54085	2007	11.96673708
54085	2008	9.852101187
54085	2009	7.69843632
54085	2010	9.513132367
54085	2011	8.707411199
54085	2012	7.828661462
54085	2013	7.753375084
54085	2014	7.471306734
54085	2015	7.278550373
54085	2016	6.193024244
54097	2000	12.82170003
54097	2001	12.28392385
54097	2002	10.3644007
54097	2003	10.55011561
54097	2004	11.4451816
54097	2005	12.44845504
54097	2006	10.03878096
54097	2007	11.27584272
54097	2008	9.29262312
54097	2009	7.482851149
54097	2010	8.622649772
54097	2011	8.576386366
54097	2012	7.87857996
54097	2013	7.083791194
54097	2014	6.525653636
54097	2015	6.172380368
54097	2016	5.198639407
54101	2000	11.30564446
54101	2001	10.80120842
54101	2002	8.869607644
54101	2003	9.433067414
54101	2004	10.32721912
54101	2005	10.95746259
54101	2006	8.981372115
54101	2007	10.39973767
54101	2008	7.999504752
54101	2009	6.379422877
54101	2010	7.626411177
54101	2011	7.448409706
54101	2012	6.894799625
54101	2013	6.13936111
54101	2014	5.613915311
54101	2015	5.304981966
54101	2016	4.333329686
54083	2000	9.290728459
54083	2001	9.856038794
54083	2002	8.361441839
54083	2003	8.636301443
54083	2004	9.468914071
54083	2005	10.35583444
54083	2006	8.226543485
54083	2007	9.520529317
54083	2008	7.650581883
54083	2009	5.871578776
54083	2010	7.179125885
54083	2011	7.357584456
54083	2012	6.422477456
54083	2013	5.738375454
54083	2014	5.334616001
54083	2015	4.974847146
54083	2016	4.014402737
54001	2000	13.80501058
54001	2001	12.91986575
54001	2002	11.15618845
54001	2003	11.43416101
54001	2004	12.18828847
54001	2005	12.93503169
54001	2006	10.9552522
54001	2007	12.02179184
54001	2008	10.10795302
54001	2009	8.292000271
54001	2010	9.384195134
54001	2011	9.007201073
54001	2012	8.805070651
54001	2013	7.592094595
54001	2014	7.269481627
54001	2015	6.89589749
54001	2016	5.985603382
54093	2000	8.393268331
54093	2001	9.555894763
54093	2002	8.458152886
